ano;disciplina;alunos_distintos;media_notas;mediana_notas;menor_nota;maior_nota;quantidade_notas;frequencia_media;total_faltas_horas;percentual_notas_abaixo_6;registros
2024;ECONOMIA REGIONAL URBANA 1BIME ANDRE BECHLIN;22;5,13;5,65;0,0;8,2;22;77,73;98,0;68,18;22
2024;ECONOMIA REGIONAL URBANA 2BIME ANDRE BECHLIN;22;6,75;7,55;0,0;10,0;22;74,09;114,0;27,27;22
2024;ECONOMIA REGIONAL URBANA 3BIME ANDRE BECHLIN;22;7,27;8,2;0,0;10,0;22;77,27;90,0;13,64;22
2024;ECONOMIA REGIONAL URBANA 4BIME ANDRE BECHLIN;22;8,34;9,85;0,0;10,0;22;77,27;70,0;13,64;22
2024;FORM. ECO. DO BRASIL 3BIMESTRE;11;7,34;9,3;0,0;9,9;11;83,64;36,0;27,27;11
2024;FORM. ECON. DO BRASIL 2BIMESTRE;11;7,23;8,1;0,0;9,1;11;82,83;34,0;9,09;11
2024;FORM. ECON. DO BRASIL 4BIMESTRE;11;8,64;9,0;0,0;10,0;11;85,71;22,0;9,09;11
2024;FORMAÇÃO ECONÔMICA DO BRASIL 1BIME ANDRE BECHLIN;19;5,44;5,7;0,0;8,9;19;76,32;90,0;57,89;19
2024;FORMAÇÃO ECONÔMICA DO BRASIL 2BIME ANDRE BECHLIN;19;6,5;7,7;0,0;10,0;19;71,58;108,0;21,05;19
2024;FORMAÇÃO ECONÔMICA DO BRASIL 3BIME ANDRE BECHLIN;19;6,89;9,0;0,0;9,5;19;75,44;84,0;21,05;19
2024;FORMAÇÃO ECONÔMICA DO BRASIL 4BIME ANDRE BECHLIN;19;4,65;5,1;0,0;7,8;19;77,44;60,0;63,16;19
2024;INSTITUIÇÕES DE DIREITO E DIREITO TRIBUTÁRIO;19;7,67;8,0;0,0;10,0;20;80,41;100,0;10,0;38
2024;INTRODUÇÃO ECONOMIA 1BIME ANDRE BECHLIN;17;6,25;6,1;0,0;10,0;17;82,66;112,0;41,18;17
2024;INTRODUÇÃO ECONOMIA 2BIME ANDRE BECHLIN;17;6,57;7,5;0,0;10,0;17;77,35;154,0;35,29;17
2024;INTRODUÇÃO ECONOMIA 3BIME ANDRE BECHLIN;17;6,29;8,2;0,0;10,0;17;67,97;196,0;29,41;17
2024;INTRODUÇÃO ECONOMIA 4BIME ANDRE BECHLIN;17;6,31;9,0;0,0;10,0;17;63,14;188,0;35,29;17
2024;INTRODUÇÃO À CONTABILIDADE;18;6,59;7,75;0,0;8,7;18;76,39;68,0;22,22;18
2024;INTRODUÇÃO À CONTABILIDADE (12524) CAMPUS DE CAMPO MOURÃO (BIMESTRAIS OU SEMESTRAIS);17;5,56;7,6;0,0;10,0;17;61,5;144,0;41,18;17
2024;LIVRO 2B DESENVOLVIMENTO SOCIOECONÔMICO;21;7,24;8,0;0,0;8,5;21;100,0;0,0;9,52;21
2024;LIVRO 2B EC. INTERNACIONAL;22;7,81;8,0;7,5;8,0;18;97,48;20,0;0,0;22
2024;LIVRO 2B TEPEC II PDF;26;7,94;9,25;0,0;10,0;26;84,62;116,0;15,38;26
2024;LIVRO 3B DESENVOLVIMENTO SOCIOECONÔMICO CERTO;21;8,5;8,5;8,5;8,5;21;100,0;0,0;0,0;21
2024;LIVRO 3B ECONOMIA INTERNACIONAL;22;9,05;9,0;8,5;10,0;22;100,0;0,0;0,0;22
2024;LIVRO DESENVOLVIMENTO SOCIOECONÔMICO 4B;21;8,29;9,0;4,0;10,0;21;100,0;0,0;19,05;21
2024;LIVRO ECONOMIA INTERNACIONAL 4B;22;8,5;8,5;8,5;8,5;22;100,0;0,0;0,0;22
2024;LIVRO TEPEC II 3B;25;8,45;9,0;0,0;10,0;21;95,45;22,0;4,76;25
2024;LIVRO TEPEC II 3B VERSO;1;0,0;0,0;0,0;0,0;1;33,33;22,0;100,0;1
2024;LIVRO TEPEC II 4B;25;7,12;9,0;0,0;10,0;25;83,2;42,0;20,0;25
2024;MACROECONOMIA - 1 BIMESTRE;24;7,26;7,4;2,5;9,7;24;82,41;152,0;16,67;24
2024;MACROECONOMIA - 2 BIMESTRE;24;6,36;7,05;0,0;10,0;24;75,23;214,0;41,67;24
2024;MACROECONOMIA - 3 BIMESTRE;24;7,28;8,1;0,0;10,0;24;77,31;196,0;16,67;24
2024;MACROECONOMIA - 4 BIMESTRE;24;6,52;7,7;0,0;9,3;24;78,47;186,0;20,83;24
2024;MATEMÁTICA 1A ECO - B1;16;5,75;6,45;0,0;9,0;16;76,64;14062128,0;43,75;16
2024;MATEMÁTICA 1A ECO - B2 ATUALIZADO;16;3,94;4,15;0,0;8,7;16;62,34;229,0;68,75;16
2024;MATEMÁTICA 1A ECO - B4;16;3,48;3,65;0,0;9,7;16;50,92;267,0;68,75;16
2024;MATEMÁTICA 1A ECO- B3;15;4,87;6,3;0,0;10,0;15;56,67;221,0;40,0;15
2024;MATEMÁTICA 1B ECO - B1;18;5,54;5,7;0,0;10,0;18;82,72;14062100,0;50,0;18
2024;MATEMÁTICA 1B ECO - B2;18;4,21;4,65;0,0;7,9;18;73,1;30082170,0;55,56;18
2024;MATEMÁTICA 1B ECO - B4;18;4,28;4,1;0,0;9,6;18;70,43;181,0;55,56;18
2024;MATEMÁTICA 1B ECO- B3;18;5,02;6,1;0,0;8,9;18;64,04;31102221,0;44,44;18
2024;MERCADO DE CAPITAIS 2B;2;8,4;8,4;6,8;10,0;2;91,66;3,0;0,0;2
2024;MERCADO DE CAPITAIS 3B;2;8,2;8,2;7,6;8,8;2;90,91;4,0;0,0;2
2024;MERCADO DE CAPITAIS 4B;2;4,8;4,8;4,4;5,2;2;100,0;0,0;100,0;2
2024;METEP - 2 BIM - TURMA A;15;7,2;8,0;0,0;9,0;15;68,15;86,0;13,33;15
2024;METEP - 2 BIM - TURMA B;17;6,47;8,0;0,0;8,5;17;62,75;114,0;17,65;17
2024;METEP 1 BIM TURMA A - RETIFICADO;15;7,68;8,8;0,0;9,6;15;74,82;68,0;13,33;15
2024;METEP 1 BIM TURMA A -- RETIFICADO;15;7,68;8,8;0,0;9,6;15;74,82;68,0;13,33;15
2024;METEP TURMA B 1 BIM - RETIFICADO;17;7,45;8,5;0,0;9,0;17;73,86;80,0;11,76;17
2024;METEP-A;15;7,18;8,5;0,0;9,5;30;83,7;88,0;13,33;30
2024;METEP-B;17;5,69;7,8;0,0;9,0;34;68,95;190,0;29,41;34
2024;MICROECONOMIA - 1O BIMESTRE - 2O A;18;4,94;5,5;0,0;9,0;18;75,31;160,0;50,0;18
2024;MICROECONOMIA - 1O BIMESTRE - 2O B;8;5,88;5,5;0,0;10,0;8;75,0;72,0;50,0;8
2024;MICROECONOMIA - 2O BIMESTRE - 2O A;18;7,35;8,8;0,0;10,0;18;71,05;198,0;22,22;18
2024;MICROECONOMIA - 2O BIMESTRE - 2O B;8;7,8;8,65;0,0;10,0;8;78,47;62,0;12,5;8
2024;MICROECONOMIA - 3O BIMESTRE - 2O A;18;6,28;7,0;0,0;9,5;18;67,25;224,0;27,78;18
2024;MICROECONOMIA - 3O BIMESTRE - 2O B;8;8,25;9,5;0,0;10,0;8;78,95;64,0;12,5;8
2024;MICROECONOMIA - 4O BIMESTRE - 2O A;18;8,29;10,0;0,0;10,0;18;78,82;122,0;16,67;18
2024;MICROECONOMIA - 4O BIMESTRE - 2O B;8;8,65;10,0;0,0;10,0;8;83,82;44,0;12,5;8
2024;MONOGRAFIA GRADE 2011-2018 1B ANDRÉ BECHLIN;2;7,5;7,5;7,0;8,0;2;100,0;0,0;0,0;2
2024;MONOGRAFIA GRADE 2011-2018 2B ANDRÉ BECHLIN;2;7,5;7,5;7,0;8,0;2;100,0;0,0;0,0;2
2024;MONOGRAFIA GRADE 2011-2018 3B ANDRÉ BECHLIN;2;7,5;7,5;7,0;8,0;2;100,0;0,0;0,0;2
2024;MONOGRAFIA GRADE 2011-2018 4B ANDRÉ BECHLIN;2;7,5;7,5;7,0;8,0;2;100,0;0,0;0,0;2
2024;MONOGRAFIA GRADE 2019-2022 1B ANDRÉ BECHLIN;34;6,56;8,0;0,0;9,9;34;79,41;448,0;20,59;34
2024;MONOGRAFIA GRADE 2019-2022 2B ANDRÉ BECHLIN;34;6,56;8,0;0,0;9,9;34;79,41;448,0;20,59;34
2024;MONOGRAFIA GRADE 2019-2022 3B ANDRÉ BECHLIN;34;6,56;8,0;0,0;9,9;34;79,41;448,0;20,59;34
2024;MONOGRAFIA GRADE 2019-2022 4B ANDRÉ BECHLIN;34;6,56;8,0;0,0;9,9;34;79,41;448,0;20,59;34
2024;PL: INTEGRAL;17;8,68;9,0;5,0;10,0;17;84,71;52,0;5,88;17
2024;PRIMEIRO BIMESTRE HISTORIA ECONOMICA GERAL A;14;7,78;8,4;0,0;10,0;14;94,44;14,0;7,14;14
2024;PRIMEIRO BIMESTRE HISTÓRIA ECONOMICA GERAL B;19;7,14;7,9;0,0;10,0;19;94,15;20,0;21,05;19
2024;PRIMEIRO BIMESTRE INTRODUCAO A ECONOMIA;20;7,7;8,4;0,0;10,0;20;90,55;68,0;15,0;20
2024;PROJETOS 1B;27;8,56;9,5;0,0;9,8;27;82,65;178,0;7,41;27
2024;PROJETOS 2B;27;7,67;9,5;0,0;9,7;27;74,27;264,0;18,52;27
2024;PROJETOS 3B;27;7,38;9,24;0,0;10,0;27;74,3;229,0;18,52;27
2024;PROJETOS 4B;27;7,78;10,0;0,0;10,0;27;71,54;269,0;22,22;27
2024;QUARTO BIMESTRE HISTÓRIA ECONOMICA GERAL A;13;9,01;9,1;8,5;9,4;13;77,78;52,0;0,0;13
2024;QUARTO BIMESTRE HISTÓRIA ECONOMICA GERAL B;17;6,49;8,4;0,0;9,4;17;83,01;52,0;29,41;17
2024;QUARTO BIMESTRE INTRODUCAO A ECONOMIA;19;4,56;5,58;0,0;8,1;19;74,56;174,0;57,89;19
2024;RC 1 ECONOMIA AGRICOLA;11;7,9;9,0;4,2;10,0;11;94,55;12,0;27,27;11
2024;RC 1 ECONOMIA AGRICOLA PDF;19;6,46;6,7;0,0;10,0;19;89,47;36,0;26,32;19
2024;RC 2 819 3074 B 12524 3924-1;18;7,04;7,95;0,0;10,0;18;71,67;110,0;22,22;18
2024;RC 2 ECONOMIA AGRICOLA;11;9,34;9,5;8,5;10,0;11;94,55;12,0;0,0;11
2024;RC 2 ECONOMIA AGRICOLA PDF;19;7,4;8,3;0,0;10,0;19;79,24;71,0;15,79;19
2024;RC 3 819 3074 B 12524 3924-1;18;5,43;6,3;0,0;9,0;18;66,67;96,0;33,33;18
2024;RC 3 ECONOMIA AGRICOLA;3;;;;;0;0,0;;;3
2024;RC 3 ECONOMIA AGRICOLA PDF;19;8,16;9,0;0,0;10,0;19;80,12;68,0;10,53;19
2024;RC 4 819 3074 B 12524 3924-1;18;7,04;9,55;0,0;10,0;18;63,33;132,0;27,78;18
2024;RC 4 ECONOMIA AGRICOLA A FRENTE;19;8,11;9,0;0,0;10,0;19;81,87;62,0;10,53;19
2024;RC 4 ECONOMIA AGRICOLA B;11;9,45;9,5;9,0;10,0;11;100,0;0,0;0,0;11
2024;RC INTRODUCAO A ADMINISTRACAO 1A 1BIMESTRE;14;7,74;7,8;5,4;9,8;14;95,36;12,0;14,29;14
2024;RC INTRODUCAO A ADMINISTRACAO 1A 2BIMESTRE;14;7,15;7,9;2,0;9,8;14;70,0;84,0;28,57;14
2024;REGISTO DE CLASSE 1B ECO. INTERNACIONAL 20024;22;9,18;9,5;8,0;10,0;22;89,39;84,0;0,0;22
2024;REGISTRO DE CLASSE - INTRODUÇÃO À ADM - 3 BIMESTRE;13;8,78;9,5;2,0;10,0;13;79,49;48,0;7,69;13
2024;REGISTRO DE CLASSE - INTRODUÇÃO À ADM - 4 BIMESTRE;13;4,71;4,7;0,0;7,5;13;73,63;48,0;61,54;13
2024;REGISTRO DE CLASSE 1B DESENVOLVIMENTO 20024;21;9,36;9,5;9,0;9,5;21;96,67;14,0;0,0;21
2024;REGISTRO DE CLASSE ECONOMIA POLÍTICA - A - PRIMEIRO BIMESTRE - ANO LETIVO 2024 EM PDF;15;7,8;9,0;0,0;10,0;15;74,67;76,0;13,33;15
2024;REGISTRO DE CLASSE ECONOMIA POLÍTICA - A - SEGUNDO BIMESTRE - 2024 EM PDF;15;6,33;8,5;0,0;10,0;15;63,64;120,0;26,67;15
2024;REGISTRO DE CLASSE ECONOMIA POLÍTICA - A - TERCEIRO BIMESTRE - ANO LETIVO 2024 EM PDF;15;7,1;8,5;0,0;10,0;15;68,89;84,0;20,0;15
2024;REGISTRO DE CLASSE ECONOMIA POLÍTICA - B - PRIMEIRO BIMESTRE - ANO LETIVO 2024 CORRIGIDO APÓS CONFER EM PDF;11;8,68;9,0;5,0;10,0;11;90,0;22,0;9,09;11
2024;REGISTRO DE CLASSE ECONOMIA POLÍTICA - B - TERCEIRO BIMESTRE - ANO LETIVO 2024 EM PDF;11;8,82;9,0;7,0;10,0;11;95,96;8,0;0,0;11
2024;REGISTRO DE CLASSE ECONOMIA POLÍTICA - B -SEGUNDO BIMESTRE 2024 EM PDF E ASSINADO;11;8,86;9,0;7,0;10,0;11;88,43;28,0;0,0;11
2024;REGISTRO DE CLASSE1B TEPEC II 2024;25;5,52;5,2;0,0;9,6;25;96,0;29,0;60,0;25
2024;SEGUNDO BIMESTRE HISTORIA ECONOMICA GERAL A;14;8,07;9,1;1,0;10,0;14;74,61;64,0;14,29;14
2024;SEGUNDO BIMESTRE HISTÓRIA ECONOMICA GERAL B;17;5,52;5,9;0,0;10,0;17;75,17;76,0;52,94;17
2024;SEGUNDO BIMESTRE INTRODUCAO A ECONOMIA;19;6,32;7,4;0,0;10,0;19;85,38;100,0;42,11;19
2024;SOCIOLOGIA 1 BIM TURMA A - RETIFICADO;13;8,73;8,5;8,5;9,5;13;85,47;34,0;0,0;13
2024;SOCIOLOGIA 1 BIM TURMA B - RETIFICADO;17;7,59;8,5;0,0;9,0;17;75,16;76,0;11,76;17
2024;SOCIOLOGIA 2 BIM - TURMA A;13;8,5;8,5;7,5;9,5;13;78,63;50,0;0,0;13
2024;SOCIOLOGIA 2 BIM - TURMA B;17;6,48;8,0;0,0;9,5;17;65,36;106,0;23,53;17
2024;SOCIOLOGIA-A;13;8,88;9,0;7,5;9,5;26;97,86;10,0;0,0;26
2024;SOCIOLOGIA-B;17;6,34;8,0;0,0;10,0;34;76,47;144,0;23,53;34
2024;TERCEIRO BIMESTRE HISTÓRIA ECONOMICA GERAL A;13;8,98;9,4;5,5;10,0;13;88,04;28,0;7,69;13
2024;TERCEIRO BIMESTRE HISTÓRIA ECONOMICA GERAL B;17;6,04;7,2;0,0;10,0;17;80,07;61,0;41,18;17
2024;TERCEIRO BIMESTRE INTRODUCAO A ECONOMIA;19;6,01;7,1;0,0;9,8;19;79,24;142,0;26,32;19
