ano;disciplina;alunos_distintos;media_notas;mediana_notas;menor_nota;maior_nota;quantidade_notas;frequencia_media;total_faltas_horas;percentual_notas_abaixo_6;registros
2024;ANÁLISE DE INVESTIMENTOS A 2B;16;7,1;9,4;0,0;9,6;16;63,79;168,0;25,0;16
2024;ANÁLISE DE INVESTIMENTOS A 3B;16;6,75;9,0;0,0;9,0;16;71,19;106,0;25,0;16
2024;ANÁLISE DE INVESTIMENTOS A 4B;16;6,64;8,4;0,0;10,0;16;64,81;152,0;31,25;16
2024;ANÁLISE DE INVESTIMENTOS B 1B;14;7,51;8,85;0,0;10,0;14;83,99;65,0;21,43;14
2024;ANÁLISE DE INVESTIMENTOS B 2B;14;9,01;9,7;0,0;10,0;14;83,74;66,0;7,14;14
2024;ANÁLISE DE INVESTIMENTOS B 3B;14;8,43;9,5;0,0;9,5;14;87,71;43,0;7,14;14
2024;ANÁLISE DE INVESTIMENTOS B 4B;14;7,76;8,45;0,0;10,0;14;80,0;70,0;14,29;14
2024;BIM1ESTATECONB;10;6,75;8,25;0,0;9,5;10;81,67;66,0;20,0;10
2024;BIM1ESTECONA;7;8,47;8,6;7,2;9,2;7;89,47;28,0;0,0;7
2024;BIM2ESTATECONB;11;6,61;7,5;1,2;9,8;11;87,08;54,0;27,27;11
2024;BIM2ESTECONA;7;7,51;7,3;6,5;9,1;7;85,72;38,0;0,0;7
2024;CONT.SOCIAL2BIMESTRE.2A;8;6,72;8,75;0,0;10,0;8;66,67;48,0;25,0;8
2024;CONT.SOCIAL2BIMESTRE.2B;10;7,24;7,85;0,0;10,0;10;73,0;54,0;10,0;10
2024;CONTAB.SOCIAL 3BIMESTRE 2B;10;7,24;8,45;0,0;9,5;10;78,75;34,0;20,0;10
2024;CONTAB.SOCIAL 3BIMESTRE.2A;8;5,7;8,4;0,0;10,0;8;55,0;72,0;37,5;8
2024;CONTAB.SOCIAL 4BIMESTRE.2.B;10;8,6;10,0;0,0;10,0;10;90,0;14,0;10,0;10
2024;CONTAB.SOCIAL1BIMESTRE.2A;8;5,7;6,85;0,0;10,0;8;71,88;36,0;37,5;8
2024;CONTAB.SOCIAL1BIMESTRE.2B;10;6,39;7,25;0,0;8,0;10;86,25;22,0;20,0;10
2024;DIARIO CLASSE ECONOMIA BRASILEIRA CONTEMPORÂNEA 4A 1BIM 2024;25;6,99;7,0;0,0;9,5;25;86,22;124,0;8,0;25
2024;DIARIO CLASSE ECONOMIA BRASILEIRA CONTEMPORÂNEA 4A 2BIM 2024;25;7,73;8,3;0,0;9,4;25;92,0;72,0;8,0;25
2024;DIARIO CLASSE ECONOMIA BRASILEIRA CONTEMPORÂNEA 4A 3BIM 2024;25;7,4;8,0;0,0;9,5;25;92,0;72,0;8,0;25
2024;DIARIO CLASSE ECONOMIA BRASILEIRA CONTEMPORÂNEA 4A 4BIM 2024;25;7,69;8,6;0,0;9,8;25;92,0;72,0;12,0;25
2024;DIARIO CLASSE ECONOMIA DO SETOR PÚBLICO 3A 1BIM 2024;26;6,5;7,0;0,0;10,0;26;77,62;128,0;30,77;26
2024;DIARIO CLASSE ECONOMIA DO SETOR PÚBLICO 3A 2BIM 2024;26;7,38;8,2;0,0;10,0;26;78,63;100,0;15,38;26
2024;DIARIO CLASSE ECONOMIA DO SETOR PÚBLICO 3A 3BIM 2024;26;7,82;8,6;0,0;10,0;26;88,46;48,0;11,54;26
2024;DIARIO CLASSE ECONOMIA DO SETOR PÚBLICO 3A 4BIM 2024;26;7,06;8,2;0,0;9,8;26;87,02;54,0;15,38;26
2024;DIARIO CLASSE HPE 1A 1BIM 2024;25;4,92;7,5;0,0;9,5;23;65,61;174,0;39,13;25
2024;DIARIO CLASSE HPE 1A 2BIM 2024;25;4,07;6,8;0,0;8,8;23;51,63;178,0;47,83;25
2024;DIARIO CLASSE HPE 1A 3BIM 2024;25;4,5;7,8;0,0;9,8;23;52,17;176,0;47,83;25
2024;DIARIO CLASSE HPE 1A 4BIM 2024;25;3,69;4,0;0,0;8,6;23;52,17;198,0;60,87;25
2024;DIARIO CLASSE HPE 1B 1BIM 2024;28;5,38;7,2;0,0;8,8;27;75,76;144,0;33,33;28
2024;DIARIO CLASSE HPE 1B 2BIM 2024;28;4,58;6,8;0,0;9,2;27;57,41;230,0;40,74;28
2024;DIARIO CLASSE HPE 1B 3BIM 2024;28;4,34;6,6;0,0;10,0;27;55,56;192,0;48,15;28
2024;DIARIO CLASSE HPE 1B 4BIM 2024;28;3,7;3,6;0,0;9,0;27;55,56;168,0;51,85;28
2024;DIARIO CLASSE TEPEC I 2A 1BIM 2024;15;7,05;7,8;0,0;10,0;15;91,11;44,0;20,0;15
